                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.87786,                 0.7335,                 1.0439,                0.92066,                0.80724,                0.88955,                0.73827,                0.71339,                0.52476,                0.91669,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.80752,                 0.6914,                 1.0249,                0.91855,                 0.8088,                0.89084,                0.73982,                0.71332,                0.52537,                0.91667,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.83562,                 0.6998,                 1.0387,                0.91634,                0.81063,                0.89104,                0.74051,                0.71151,                0.52491,                0.91628,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.83886,                0.69203,                 1.0315,                0.91979,                0.80562,                0.89141,                0.74089,                0.71111,                 0.5245,                0.91601,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.81533,                0.66999,                 1.0364,                0.91361,                0.80752,                0.89063,                0.74132,                0.70975,                0.52225,                0.91524,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                 0.8118,                0.67292,                 1.0337,                0.91445,                0.80531,                0.89106,                0.74179,                0.70851,                0.52071,                0.91481,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.83393,                0.69219,                 1.0159,                0.91252,                0.80627,                0.89186,                 0.7432,                0.70757,                0.51898,                0.91439,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.84883,                0.69522,                 1.0365,                0.91222,                0.81051,                0.89166,                0.74439,                0.70669,                0.51817,                0.91413,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.81425,                0.67848,                0.99611,                0.91069,                   0.81,                0.88888,                 0.7389,                0.71259,                0.52403,                0.91447,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.88683,                0.73334,                 1.0141,                 0.9045,                0.81285,                0.88996,                0.73677,                0.71954,                0.53016,                0.91582,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.90061,                0.79542,                 1.0351,                0.90749,                0.80535,                 0.8879,                0.73337,                0.72591,                0.53616,                 0.9178,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.87315,                0.73675,                 1.0324,                0.91381,                0.80192,                0.88832,                0.72689,                 0.7327,                0.54235,                0.91981,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.85352,                0.70524,                 1.0187,                0.90675,                0.80486,                0.88647,                0.72648,                0.73563,                 0.5446,                0.92067,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.85277,                0.71495,                 1.0119,                0.90273,                0.80229,                0.88554,                 0.7244,                0.73814,                0.54841,                0.92141,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.81738,                0.67022,                 1.0006,                0.88568,                0.80331,                0.87792,                0.72454,                 0.7394,                0.54988,                0.92207,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.81971,                0.65143,                0.99717,                0.89296,                0.79978,                0.87817,                0.72569,                0.73958,                0.54983,                0.92208,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                 0.8232,                0.69308,                0.99986,                0.89099,                0.79821,                0.87816,                0.72387,                0.74209,                0.55126,                0.92303,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.85088,                0.68377,                 1.0091,                0.89406,                0.79656,                0.87759,                 0.7227,                 0.7437,                0.55291,                0.92358,             3.5462e-06,             3.5462e-06,             3.5462e-06
